No,Unit,Question,CorrectAnswer,Image,Explanation
1,ハードウェアの構成,郵便番号の読み取りのように、手書きや印刷された文字を光学的に読み取る装置。,OCR,apple.png,"手書きのハガキの住所を、機械が読み取ってデータにする時に使う技術だよ！"
2,ハードウェアの構成,マークシートなどの専用用紙の所定の位置に記入された、マークの有無を光学的に読み取る装置。,OMR,,"テストのマークシートを機械で自動採点する時に、塗りつぶした場所を見つける装置のことだね。"
3,ハードウェアの構成,磁性体を塗った薄い円盤（ディスク）を、高速回転させてデータを読み書きする装置。,磁気ディスク装置,,"パソコンの中で、磁石の力を使ってデータを記録する丸いお皿のような装置だよ。"
4,ハードウェアの構成,磁気ディスク装置において、ディスク上のデータの読み書きを直接行う部分。,磁気ヘッド,,"レコードプレーヤーの針のような役割で、回転するディスクのデータを直接読み書きする部分だよ。"
5,ハードウェアの構成,磁気ディスク装置において、磁気ヘッドをデータの読み書きする位置に移動させる部品。,アクセスアーム,,"読み書きをする『ヘッド』を、ディスクの好きな場所に移動させるための『腕』のような部品だよ。"
6,ハードウェアの構成,磁気ディスク装置において、同心円状の複数のトラックが、論理的な円筒状になっている記録単位。,シリンダ,,"複数のディスクを縦に貫く『円柱』のようなイメージで、データをまとめて管理する単位のことだよ。"
7,ハードウェアの構成,磁気ディスク装置の記録面で、同心円状の1周分の記憶場所。,トラック,,"陸上競技場のコース（1周分）のように、ディスクの上に並んでいるデータの通り道のことだよ。"
8,ハードウェアの構成,磁気ディスク装置において、データの読み書きをする最小単位。,セクタ,,"ディスクの1周（トラック）を、バームクーヘンのように細かく切り分けた、一番小さな部屋のことだよ。"
9,ハードウェアの構成,自然災害などでコンピュータシステムへの電源供給が止まった際、一定の時間、電源を供給する装置。,UPS,,"停電になっても、少しの間だけ電気を送り続けて、パソコンが急に消えないように守ってくれる装置だよ。"
10,ソフトウェアに関する知識,文字や画像（写真やイラストなど）を構成する、色情報を持たない小さな点。,ドット,,"画像を拡大していくと見える、一番小さな『点』のことだよ。"
11,ソフトウェアに関する知識,色調や階調などの色情報を持ったドットのこと。,ピクセル（画素）,,"『点』の中に色の情報が入ったもので、デジタル画像を構成する最小の粒のことだね。"
12,ソフトウェアに関する知識,ディスプレイの表示能力など、きめ細かさや画質の滑らかさを表す尺度で、dpiとppiの2つの指標がある。,解像度,,"画面がどれだけ『きめ細かいか』を表す数値だよ。これが高いほど、画像が滑らかで綺麗に見えるんだ。"
13,ソフトウェアに関する知識,光の三原色（赤：Red、緑：Green、青：Blue）のことで、ディスプレイ装置などは、3色の光を組み合わせて表現している。,RGB,,"テレビやスマホの画面で色を作る時に使う、光の三原色の頭文字をとった言葉だよ。"
14,ソフトウェアに関する知識,色の三原色（藍：Cyan、赤紫：Magenta、黄：Yellow）に、黒（Keyplate）を加えたもので、カラー印刷はその4色の色料を組み合わせて表現している。,CMYK,,"プリンタのインクなどで使われる色の組み合わせだよ。絵の具のように混ぜて色を作るんだ。"
15,ソフトウェアに関する知識,データの内容を保ったまま、一定の手順にしたがってデータの記憶容量を小さくすること。,圧縮,,"中身はそのままに、データのサイズをギュッと小さくして、持ち運びやすくすることだよ。"
16,ソフトウェアに関する知識,圧縮されたデータを元に戻すこと。,解凍,,"小さく固められたデータを、また使えるように元の大きさに戻す操作のことだね。"
17,ソフトウェアに関する知識,複数のファイルを一つにまとめたり、元に戻したりするソフトウェア。,アーカイバ,,"バラバラのファイルを一つにまとめたり、圧縮したものを元に戻したりしてくれる便利ツールのことだよ。"
18,ソフトウェアに関する知識,コンピュータに周辺機器などを接続した際、ユーザが手動で設定を行わなくても、OSが最適な設定を自動的に行う機能。,プラグアンドプレイ,,"『さして（プラグ）、すぐに使う（プレイ）』という意味で、つなぐだけで自動で設定が終わる便利な機能だよ。"
19,ディレクトリとファイル,ファイルを階層構造で管理する場合、最上位にあるディレクトリ。,ルートディレクトリ,,"ファイルの入れ物の中で、一番てっぺん（根っこ）にあるディレクトリのことだよ。"
20,ディレクトリとファイル,ファイルを階層構造で管理する場合、最上位ディレクトリの下位に作成されるすべてのディレクトリ。,サブディレクトリ,,"フォルダの中に作られた、また別のフォルダのことだね。"
21,ディレクトリとファイル,ファイルの種類を識別するために識別するために付ける、ファイル名の後ろに記述される3文字程度の文字列。,拡張子,,"ファイル名の最後についている『.jpg』や『.txt』などの名前で、何の種類かを見分ける目印だよ。"
22,ディレクトリとファイル,文字コードと改行やタブだけで構成された文書ファイルのことで、コンピュータの機種や使用環境に関係なく利用することができる。,テキストファイル,,"文字の情報だけが入った、とってもシンプルなファイル形式のことだよ。"
23,ディレクトリとファイル,画像や動画、実行可能なプログラムファイルなど、文字として読み込むことのできない2進数形式のファイル。,バイナリファイル,,"文字ではなく、0と1の数字の並びでできている、画像や音楽などのデータファイルのことだよ。"
24,ディレクトリとファイル,圧縮しないで記録するファイル形式で、静止画像を点の集まりとして保存する。,BMP,,"画像を『点の集まり』としてそのまま保存する形式だよ。データは大きくなるけど、加工しやすいんだ。"
25,ディレクトリとファイル,フルカラーの静止画を、画質は劣化するが、圧縮して記録するファイル形式。,JPEG,,"写真に向いている保存形式だよ。少し画質は落ちるけど、データをすごく小さくできるんだ。"
26,ディレクトリとファイル,インターネット上のイラストやアイコンなどの保存に使われているファイル形式で、256色までの画像を保存することができる。,GIF,,"使える色は少ないけど、背景を透明にしたり、パラパラ漫画みたいに動かしたりできる画像形式だよ。"
27,ディレクトリとファイル,透明度などの情報を持ち、フルカラーの静止画を、画質を落とさずに圧縮して保存するファイル形式。,PNG,,"綺麗なまま保存できて、背景を透明にすることもできる、ネットでよく使われる画像形式だよ。"
28,ディレクトリとファイル,用途により数種類の規格があるが、動画や音声データを圧縮して保存したファイル。,MPEG,,"動画を保存する時によく使われる形式だよ。映画やテレビなどの映像に使われているんだ。"
29,ディレクトリとファイル,電子ピアノなどの電子楽器とパソコンを接続するための規格で、音楽情報を保存したファイル形式。,MIDI,,"実際の音を録音するんじゃなくて、『どの音をどの長さで弾くか』という演奏情報を記録したデータだよ。"
30,ディレクトリとファイル,音声データを高音質に保ったまま、圧縮して記録できるファイル形式。,MP3,,"音楽を聴く時に一番よく使われる形式だね。音質を保ちつつ、データをすごく小さくできるんだ。"
31,ディレクトリとファイル,主にデータベースソフトや表計算ソフトの保存形式として使用されていて、データをコンマで区切って並べたファイル形式。,CSV,,"データをカンマ（,）で区切って並べた、Excelなどでよく使われる保存形式だよ。"
32,ディレクトリとファイル,電子文書の形式のことで、コンピュータの機種や使用環境に関係なく閲覧できる。,PDF,,"どんなパソコンやスマホでも、同じ見た目で書類を見ることができる、電子の紙のようなファイルだよ。"
33,ディレクトリとファイル,世界的に広く利用されている、ファイル圧縮形式の一つ。,ZIP,,"複数のファイルを一つにまとめて、サイズを小さくする時によく使われる有名な形式だよ。"
34,関連知識,工業関連分野の技術発展や規格の標準化を目的として設立された国際標準化機構。,ISO,,"世界中で同じルール（標準）を決めている国際的な組織だよ。ネジの大きさなどの基準も決めているんだ。"
35,関連知識,日本国内における工業製品などの標準規格。,JIS,,"日本全国で使いやすくするために決められた、製品のルールのことだよ。マークを見たことがあるかも！"
36,関連知識,日本のJISに相当する、工業製品の標準化・規格化を行うアメリカの非営利団体。,ANSI,,"アメリカ国内で決められた、製品の標準ルールのことだね。日本のJISと同じような役割だよ。"
37,関連知識,本部は米国にあり、LANの標準規格を定めるなど、電気・電子・通信分野における世界規模の研究組織。,IEEE,,"ネットのつなぎ方などの世界的なルールを決めている、カッコいい名前の研究組織だよ。"
38,関連知識,JIS規格によって規定されている日本語の文字コード。,JISコード,,"日本のルール（JIS）で決められた、日本語をコンピュータで扱うための番号表のことだよ。"
39,関連知識,米国規格協会が制定した、標準の文字コードで、半角の英数字、記号などの文字を7ビットで表現する。,ASCIIコード,,"世界で一番基本となる、英数字を扱うための文字コードだよ。全ての基本なんだ。"
40,関連知識,世界各国の文字を統一した文字コードで表現するための規格。,Unicode,,"世界中のいろいろな国の文字を、これ一つで全部表現できるようにした世界共通の文字コードだよ。"
41,関連知識,コンピュータシステムなどの設備の導入から、廃棄までの時間と費用の総額。,TCO（総保有コスト）,, "買う時の値段だけじゃなくて、使い始めてから捨てるまでにかかる『全部の費用』のことだよ。"
42,関連知識,パソコンや机など、コンピュータシステムなどの設備を導入する際にかかる初期費用。,イニシャルコスト,,"何かを始める時に一番最初にかかるお金のことだね。例えば、パソコンを買う代金のことだよ。"
43,関連知識,コピー用紙や保守点検費用など、コンピュータシステムなどの設備の運用・保守・管理するために必要となる費用。,ランニングコスト,,"使い始めてから、それを続けるためにずっとかかり続けるお金（電気代や用紙代など）のことだよ。"
44,関連知識,ファイルを検索する際に、任意の文字列や一つの文字の代用として、使うことができる特殊文字。,ワイルドカード,,"トランプのジョーカーみたいに、どんな文字の代わりにもなれる特別な記号（*や?）のことだよ。"
45,ネットワークの構成,電話回線のように、音声やデータを連続性のある信号でやり取りする通信回線。,アナログ回線,,"波のような連続した信号で声を送る、昔ながらの電話回線のことだよ。"
46,ネットワークの構成,文字や音声、画像などのデータを「ON」・「OFF」のように、2種類の電気信号の0と1で表し、データの送受信を行う通信回線。,ディジタル回線,,"0と1の数字に置き換えて、正確に大量のデータを送るための通信回線のことだね。"
47,ネットワークの構成,ディジタル通信においてデータを送受信する際に、データを一定のサイズに分割したもの。,パケット,,"データをネットで送る時にバラバラにした『小包』のようなものだよ。これを集めると元のデータになるんだ。"
48,ネットワークの構成,企業や学校などの建物や敷地など、特定の限られた範囲におけるネットワーク。,LAN,,"家の中や学校の中など、決まった建物の中だけでつながっているネットワークのことだよ。"
49,ネットワークの構成,コンピュータやプリンタなどを、通信ケーブルで接続したLAN。,有線LAN,,"線をグサッとさしてつなぐネットのことだよ。速くて安定しているのが特徴だね。"
50,ネットワークの構成,コンピュータネットワークにおいて、通信ケーブルを使わずに、無線通信を利用してデータの送受信を行うLANシステム。,無線LAN,,"線を使わずに、電波でデータをやり取りするネットのつなぎ方のことだよ。"
51,ネットワークの構成,無線LANにおいて、相互接続が保証された機器に与えられる名称。,Wi-Fi,,"みんなもよく知っている、電波で無線LANにつなげる技術の名前だね。"
52,ネットワークの構成,無線LANを利用するときにアクセスポイントに付ける混信を避けるための識別子。,SSID,,"Wi-Fiにつなぐ時に選ぶ、電波の発信源の名前のことだよ。"
53,ネットワークの構成,スマートフォンなどの通信機器をモデムとしてインターネットに常時接続すること。,テザリング,,"スマホを中継地点にして、外でもパソコンをネットにつなげるようにする便利な機能だよ。"
54,ネットワークの活用,接続された各コンピュータが互いに対等な関係で、サーバ専用のコンピュータを置かないネットワーク形態のこと。,ピアツーピア,,"特別な中心のパソコンを置かずに、みんなで対等にデータをおすそ分けし合う仕組みのことだよ。"
55,ネットワークの活用,サーバ専用のコンピュータを置き、サーバとクライアントが互いに処理を分担して運用しているネットワーク形態のこと。,クライアントサーバシステム,,"『お願いする側』と『サービスを提供する側』に役割を分担して、効率よく動く仕組みのことだよ。"
56,ネットワークの活用,インターネット上の動画や音楽のデータを、すべてダウンロードする前に、受信しながら再生する方式。,ストリーミング,,"動画を最後までダウンロードしなくても、見ながら少しずつ受け取って再生する方式のことだよ。"
57,ネットワークの活用,企業や学校などで、LANやインターネットを活用して情報共有やコミュニケーションを効率的に行うためのソフトウェア。,グループウェア,,"チームで予定を共有したり、掲示板で連絡し合ったりするための共有ツールのことだよ。"
58,権利の保護と管理,人間の知的創作活動によって生み出されたものを、創作した人の財産として保護する権利。,知的財産権,,"頭を使って作り出したアイデアや作品を、その人の財産として守ってあげる権利のことだよ。"
59,権利の保護と管理,知的財産権のうち、特許権、実用新案権、意匠権および、商標権の四つの総称。認可によって独占的に利用できる。,産業財産権,,"発明やデザイン、商品名など、お仕事（産業）に役立つアイデアを独占して使えるようにする権利だよ。"
60,権利の保護と管理,小説、音楽、美術などの著作物が、完成した時点で自動的に発生する権利。,著作権,,"自分が作ったお話や絵、音楽などが、誰かに勝手にコピーされないように守ってくれる権利だよ。"
61,権利の保護と管理,自分の姿の写真、イラスト、動画などを、無断で公表されたり利用されたりすることがないように主張できる権利。,肖像権,,"自分の顔や姿が勝手にネットに載せられたり、使われたりしないように断ることができる権利だよ。"
62,権利の保護と管理,著作権の権利や、権利の存続期間などを定めて、著作者の権利の保護を図ることを目的とした法律。,著作権法,,"作品を作った人の権利を守るために、ルールを細かく決めている法律のことだよ。"
63,権利の保護と管理,個人情報を取り扱う企業などに、安全管理措置を行うことを義務付け、情報の保護を図ることを目的とする法律。,個人情報保護法,,"みんなの名前や住所などの大切な情報を、企業がちゃんと守るように決めた法律のことだよ。"
64,権利の保護と管理,利用する権限がない者が、他人のユーザIDやパスワードを利用して、コンピュータを不正利用することを禁止する法律。,不正アクセス禁止法,,"人のIDやパスワードを勝手に使って、ネットサービスにログインしたらいけないよ、と決めた法律だよ。"
65,権利の保護と管理,使用期間に関係なく、無料で利用できるソフトウェア。,フリーウェア,,"ずっとタダで使わせてもらえる、お財布に優しいソフトウェアのことだね。"
66,権利の保護と管理,一定の期間は無料で試用できるが、その後も続けて使用する場合は、料金を支払い使用権を取得するソフトウェア。,シェアウェア,,"最初はタダでお試しできるけど、気に入ってずっと使うならお金を払ってね、というソフトウェアだよ。"
67,権利の保護と管理,学校や企業などの特定の場所において、一つのソフトウェアを複数のパソコンで利用できる契約。,サイトライセンス,,"学校や会社にある全部のパソコンに、まとめてソフトを入れていいですよ、という特別な契約だよ。"
68,権利の保護と管理,ソフトウェアのプログラムコードを無償で公開し、誰でもそのソフトウェアの利用、改良などが行えるソフトウェア。,OSS,,"中身のプログラムが公開されていて、誰でも自由に使ったり直したりできるソフトウェアのことだよ。"
69,セキュリティ管理,「知識」、「所有」、「生体」の要素のうち二つ以上組み合わせて認証を行う方法。,多要素認証,,"パスワード（知識）だけじゃなくて、指紋（生体）なども使って、より厳重に本人確認をする方法だよ。"
70,セキュリティ管理,第三者による不正ログインを防止するために、2回以上連続して認証を行う方法。,多段階認証,,"1回だけじゃなくて、スマホに送られてきた番号を入力するなど、何回かに分けて確認をすることだね。"
71,セキュリティ管理,短時間のみ有効なその場限りの、一度しか使用できないパスワード。,ワンタイムパスワード,,"その時だけしか使えない、1回限りのパスワードだよ。時間がたつと使えなくなるから安心なんだ。"
72,セキュリティ管理,1回の認証で、複数のソフトウェアやWebサービスなどを利用できる仕組み。,シングルサインオン(SSO),,"1回ログインするだけで、連携しているいろんなサービスがまとめて使えるようになる便利な仕組みだよ。"
73,セキュリティ管理,ファイルやディレクトリの「変更」、「読み取り」、「実行」、「書き込み」、「削除」など、すべてのアクセス権限のこと。,フルコントロール,,"ファイルに対して、中身を見たり、書き換えたり、消したり、何でもできる最強の権限のことだよ。"
74,セキュリティ管理,ファイルやディレクトリ(フォルダ)への、参照だけのアクセス権限のこと。,読み取り,,"中身を見ることはできるけど、勝手に書き換えたりはできない権限のことだね。"
75,セキュリティ管理,ファイルやディレクトリ(フォルダ)を読み込んで、データを追加したり、書き込むアクセス権限のこと。,書き込み,,"ファイルの中に新しい情報を書き込んだり、中身を書き換えたりできる権限のことだよ。"
76,セキュリティ管理,組織内のコンピュータネットワークに対する外部からの不正な侵入を防ぎ、安全を維持することを目的としたシステム。,ファイアウォール,,"ネットからの悪い侵入者を防ぐために、ネットワークの入り口にある『防火壁』のような守りのシステムだよ。"
77,セキュリティ管理,プログラムの設計ミスなどにより発生する、セキュリティ上の欠陥のこと。,セキュリティホール,,"プログラムのおかしなところで、悪い人が入り込めてしまう『穴』のような欠陥のことだよ。"
78,セキュリティ管理,キーボードから入力されたIDやパスワードなどの入力情報を盗み取るスパイウェア。,キーロガー,,"キーボードで打った文字を全部記録して、パスワードを盗み取る怖いウイルスのことだよ。"
79,セキュリティ管理,ファイルを勝手に暗号化するなどして対価として金銭を要求するコンピュータウイルス。,ランサムウェア,,"パソコンを勝手にロックして、元に戻してほしければお金を払え！と脅してくる悪質なウイルスだよ。"
80,セキュリティ管理,Webサイトを改ざんし、他の有害サイトに閲覧者を自動的に誘導してウイルス感染を狙う攻撃手法。,ガンブラー,,"普通のサイトを見ただけで、いつの間にかウイルスに感染するように仕向ける、巧妙な攻撃のことだよ。"
81,セキュリティ管理,第三者に意味がわからないようにするために、ある規則にしたがってデータを変換すること。,暗号化,,"中身をバラバラのめちゃくちゃな文字に変換して、持ち主にしか読めないようにすることだよ。"
82,セキュリティ管理,ある規則にしたがって内容がわからないように変換したデータを、元のデータに戻すこと。,復号,,"バラバラになった暗号を、また元の読める文章に戻す作業のことだね。"
83,セキュリティ管理,データの破損や紛失に備え、データを複製し、別の場所や媒体に保存しておくこと。,バックアップ,,"大事なデータが消えても大丈夫なように、あらかじめ別の場所に予備をコピーして取っておくことだよ。"
84,応用操作,セル番地が変化しないように、セル番地の列番号または行番号を固定すること（$A1やA$1）。,複合参照,,"Excelの式をコピーした時、行だけ、または列だけが変わらないように、＄をつけて固定する方法だよ。"
85,応用操作,データから、指定した条件に一致するデータだけを表示させるしくみ。,フィルタ,,"たくさんのデータの中から、欲しい条件のものだけをサッと選び出して表示する機能のことだよ。"
86,応用操作,同時に複数のシートを利用して、データの入力や編集、串刺し計算などを行うことができる機能。,マルチシート,,"1つのファイルの中に何枚もシートを作って、それをまとめて管理する使い方のことだね。"
87,応用操作,グループごとの合計や平均などを自動的に計算する集計機能の一つ。,グループ集計,,"クラス別や部活別など、仲間ごとに分けて合計や平均を出してくれる機能のことだよ。"
88,応用操作,二つの項目に注目して同時に行・列で集計する作業のこと。,クロス集計,,"『性別』と『好きな食べ物』のように、2つの条件を縦と横に並べて表にする集計方法だよ。"
89,応用操作,クロス集計を行う Microsoft Excel の機能。,ピボットテーブル,,"たくさんあるデータから、必要な部分だけを取り出して、自由に集計表が作れるExcelのすごい機能だよ。"
90,応用操作,目標とする数値を得るために、与えられた条件に最も適した解のこと。,最適解,,"決められたルールの中で、一番良い（一番儲かる、一番時間が短いなど）答えのことだね。"
91,応用操作,最適解を求める Microsoft Excel の機能。,ゴールシーク,, "『最終的な目標』を決めて、そのためには何をどう変えればいいか、逆算して見つけてくれる機能だよ。"
92,グラフ,二つの要素を縦軸、横軸に対応させ、データを点でらわしたグラフ。,散布図,,"『身長』と『体重』の関係を調べる時みたいに、点をバラバラに打って関係性を見るグラフだよ。"
93,グラフ,二つの異なる種類のグラフを組み合わせたグラフ。,複合グラフ,,"棒グラフと折れ線グラフを1つの画面に混ぜて、2つの情報を同時に見やすくしたグラフのことだね。"
94,グラフ,データの比較を棒グラフで、データの変化を折れ線グラフで表し、一つのグラフに組み合わせるもの。,2軸上の折れ線と棒グラフ,,"合計の数と、増え方の割合（％）のように、単位が違う2つのグラフを1つにまとめたものだよ。"
95,グラフ,二つの異なる種類のデータの変化をそれぞれ折れ線グラフで表し、一つのグラフに組み合わせるもの。,2軸上の折れ線グラフ,,"2つのデータの変化を比べるために、折れ線グラフを2本重ねて描いたグラフのことだよ。"
96,リレーショナル型データベース,データを管理し、利用しやすい形に整理・統合したデータの集まり。,データベース,,"大量の情報を使いやすいように整理して、いつでも取り出せるようにした『データの基地』のことだね。"
97,リレーショナル型データベース,データベースに対して、データの追加、修正、削除、検索などの管理を行うシステム。,DBMS,,"データベースの中身を整理したり、探したりする仕事をしてくれる専用のシステムのことだよ。"
98,リレーショナル型データベース,データが実際に保存されている2次元の表。,テーブル（表）,, "データベースの中で、データをきれいに並べて保存している『表』そのもののことだね。"
99,リレーショナル型データベース,テーブルの1行分のデータ。,レコード（行）,,"表の中の『横1行分』のひとまとまりのデータのことだよ。例えば1人分の情報のセットだね。"
100,リレーショナル型データベース,テーブルにおいて、同じ性質を持つ列方向のデータ。,フィールド（列）,,"表の中の『縦1列』のことだよ。『名前』とか『電話番号』といった項目ごとの情報の入れ物だね。"
101,リレーショナル型データベース,コンピュータが取り扱うデータの属性（数値型、文字型など）。,データ型,,"その場所に『数字』を入れるのか、『文字』を入れるのかという情報の種類のルールのことだよ。"
102,リレーショナル型データベース,テーブルのレコードを一意に識別するためのフィールド。,主キー,,"出席番号のように、その人をたった一人に特定するための世界に一つだけの番号や項目のことだよ。"
103,リレーショナル型データベース,複数の項目の組み合わせによってレコードを特定できるもの。,複合キー,,"1つの項目じゃ足りない時に、2つ以上の項目を組み合わせて正解を特定する方法のことだよ。"
104,リレーショナル型データベース,他のテーブルの主キーを参照するフィールド。,外部キー,,"別の表にある番号を借りてきて、2つの表を関連付けるための目印になる項目のことだよ。"
