No,Unit,Question,CorrectAnswer,Image,Explanation
1,ハードウェアの構成,OCR,郵便番号の読み取りのように、手書きや印刷された文字を光学的に読み取る装置。,, "手書きのハガキの住所を、機械が読み取ってデータにする時に使う技術だよ！"
2,ハードウェアの構成,OMR,マークシートなどの専用用紙の所定の位置に記入された、マークの有無を光学的に読み取る装置。,, "テストのマークシートを機械で自動採点する時に、塗りつぶした場所を見つける装置のことだね。"
3,ハードウェアの構成,磁気ディスク装置,磁性体を塗った薄い円盤（ディスク）を、高速回転させてデータを読み書きする装置。,, "パソコンの中で、磁石の力を使ってデータを記録する丸いお皿のような装置だよ。"
4,ハードウェアの構成,磁気ヘッド,磁気ディスク装置において、ディスク上のデータの読み書きを直接行う部分。,, "レコードプレーヤーの針のような役割で、回転するディスクのデータを直接読み書きする部分だよ。"
5,ハードウェアの構成,アクセスアーム,磁気ディスク装置において、磁気ヘッドをデータの読み書きする位置に移動させる部品。,, "読み書きをする『ヘッド』を、ディスクの好きな場所に移動させるための『腕』のような部品だよ。"
6,ハードウェアの構成,シリンダ,磁気ディスク装置において、同心円状の複数のトラックが、論理的な円筒状になっている記録単位。,, "複数のディスクを縦に貫く『円柱』のようなイメージで、データをまとめて管理する単位のことだよ。"
7,ハードウェアの構成,トラック,磁気ディスク装置の記録面で、同心円状の1周分の記憶場所。,, "陸上競技場のコース（1周分）のように、ディスクの上に並んでいるデータの通り道のことだよ。"
8,ハードウェアの構成,セクタ,磁気ディスク装置において、データの読み書きをする最小単位。,, "ディスクの1周（トラック）を、バームクーヘンのように細かく切り分けた、一番小さな部屋のことだよ。"
9,ハードウェアの構成,UPS,自然災害などでコンピュータシステムへの電源供給が止まった際、一定の時間、電源を供給する装置。,, "停電になっても、少しの間だけ電気を送り続けて、パソコンが急に消えないように守ってくれる装置だよ。"
10,ソフトウェアに関する知識,ドット,文字や画像（写真やイラストなど）を構成する、色情報を持たない小さな点。,, "画像を拡大していくと見える、一番小さな『点』のことだよ。"
11,ソフトウェアに関する知識,ピクセル（画素）,色調や階調などの色情報を持ったドットのこと。,, "『点』の中に色の情報が入ったもので、デジタル画像を構成する最小の粒のことだね。"
12,ソフトウェアに関する知識,解像度,ディスプレイの表示能力など、きめ細かさや画質の滑らかさを表す尺度で、dpiとppiの2つの指標がある。,, "画面がどれだけ『きめ細かいか』を表す数値だよ。これが高いほど、画像が滑らかで綺麗に見えるんだ。"
13,ソフトウェアに関する知識,RGB,光の三原色（赤：Red、緑：Green、青：Blue）のことで、ディスプレイ装置などは、3色の光を組み合わせて表現している。,, "テレビやスマホの画面で色を作る時に使う、光の三原色の頭文字をとった言葉だよ。"
14,ソフトウェアに関する知識,CMYK,色の三原色（藍：Cyan、赤紫：Magenta、黄：Yellow）に、黒（Keyplate）を加えたもので、カラー印刷はその4色の色料を組み合わせて表現している。,, "プリンタのインクなどで使われる色の組み合わせだよ。絵の具のように混ぜて色を作るんだ。"
15,ソフトウェアに関する知識,圧縮,データの内容を保ったまま、一定の手順にしたがってデータの記憶容量を小さくすること。,, "中身はそのままに、データのサイズをギュッと小さくして、持ち運びやすくすることだよ。"
16,ソフトウェアに関する知識,解凍,圧縮されたデータを元に戻すこと。,, "小さく固められたデータを、また使えるように元の大きさに戻す操作のことだね。"
17,ソフトウェアに関する知識,アーカイバ,複数のファイルを一つにまとめたり、元に戻したりするソフトウェア。,, "バラバラのファイルを一つにまとめたり、圧縮したものを元に戻したりしてくれる便利ツールのことだよ。"
18,ソフトウェアに関する知識,プラグアンドプレイ,コンピュータに周辺機器などを接続した際、ユーザが手動設定を行わなくても、OSが最適な設定を自動的に行う機能。,, "『さして（プラグ）、すぐに使う（プレイ）』という意味で、つなぐだけで自動で設定が終わる便利な機能だよ。"
19,ディレクトリとファイル,ルートディレクトリ,ファイルを階層構造で管理する場合、最上位にあるディレクトリ。,, "ファイルの入れ物の中で、一番てっぺん（根っこ）にあるディレクトリのことだよ。"
20,ディレクトリとファイル,サブディレクトリ,ファイルを階層構造で管理する場合、最上位ディレクトリの下位に作成されるすべてのディレクトリ。,, "フォルダの中に作られた、また別のフォルダのことだね。"
21,ディレクトリとファイル,拡張子,ファイルの種類を識別するために付ける、ファイル名の後ろに記述される3文字程度の文字列。,, "ファイル名の最後についている『.jpg』や『.txt』などの名前で、何の種類かを見分ける目印だよ。"
22,ディレクトリとファイル,テキストファイル,文字コードと改行やタブだけで構成された文書ファイルのことで、コンピュータの機種や使用環境に関係なく利用することができる。,, "文字の情報だけが入った、とってもシンプルなファイル形式のことだよ。"
23,ディレクトリとファイル,バイナリファイル,画像や動画、実行可能なプログラムファイルなど、文字として読み込むことのできない2進数形式のファイル。,, "文字ではなく、0と1の数字の並びでできている、画像や音楽などのデータファイルのことだよ。"
24,ディレクトリとファイル,BMP,圧縮しないで記録するファイル形式で、静出し画像を点の集まりとして保存する。,, "画像を『点の集まり』としてそのまま保存する形式だよ。データは大きくなるけど、加工しやすいんだ。"
